PLAYER,CAP HIT,player_id
Joonas Korpisalo,1300000,korpijo01
Kevin Rooney,1300000,rooneke01
Max Jones,1295000,jonesma02
Joshua Brown,1275000,brownjo01
Darren Helm,1250000,helmda01
Mattias Janmark,1250000,janmama01
Matthew Benning,1250000,bennima01
Derek Ryan,1250000,ryande01
Troy Stecher,1250000,stechtr01
Noel Acciari,1250000,acciano01
Andrew Cogliano,1250000,coglian01
Thomas Greiss,1250000,greisth01
Jon Merrill,1200000,merrijo01
Frédérick Gaudreau,1200000,gaudrfr01
Kieffer Bellows,1200000,belloki01
Colin White,1200000,whiteco01
Ryan Donato,1200000,donatry01
Colin Blackwell,1200000,blackco01
Nolan Patrick,1200000,patrino01
Sam Lafferty,1150000,laffesa01
Jakub Zboril,1137500,zborija01
Austin Wagner,1133333,wagneau01
Christian Fischer,1125875,fischch01
Jonas Siegenthaler,1125000,siegejo01
Ross Colton,1125000,coltoro01
Marcus Johansson,1100000,johanma01
Ross Johnston,1100000,johnsro01
Charlie Lindgren,1100000,lindgch01
Brendan Smith,1100000,smithbr01
Nick Cousins,1100000,cousini01
Rem Pitlick,1100000,pitlire01
Jake Walman,1050000,walmaja01
Logan O'Connor,1050000,o'conlo01
Trent Frederic,1050000,fredetr01
Joel Kiviranta,1050000,kivirjo01
Daniil Tarasov,1050000,tarasda01
Steven Lorentz,1050000,lorenst01
Connor Clifton,1000000,cliftco01
Anton Strålman,1000000,strålan01
Patrick Maroon,1000000,maroopa01
Pierre-Édouard Bellemare,1000000,bellepi01
Samuel Montembeault,1000000,montesa01
Justin Braun,1000000,braunju01
Scott Wedgewood,1000000,wedgesc01
Curtis Lazar,1000000,lazarcu01
Nicolas Aubé-Kubel,1000000,aubé-ni01
Corey Perry,1000000,perryco01
Michael Anderson,1000000,andermi01
Danton Heinen,1000000,heineda01
Kurtis MacDermid,987500,macdeku01
Jujhar Khaira,975000,khairju01
Justin Danforth,975000,danfoju01
Michael Mcleod,975000,mcleomi01
Marco Kasper,950000,kaspema01
Juraj Slafkovsky,950000,slafkju01
Simon Nemec,950000,nemecsi01
Matthew Savoie,950000,savoima01
Brad Lambert,950000,lambebr01
David Jiricek,950000,jiricda01
Shane Wright,950000,wrighsh01
Conor Geekie,950000,geekico01
Noah Gregor,950000,gregono01
Denton Mateychuk,950000,mateyde01
Joakim Kemell,950000,kemeljo01
Trevor van Riemsdyk,950000,vantr01
Andrei Kuzmenko,950000,kuzmean01
Riley Sheahan,950000,sheahri01
Kevin Korchinski,950000,korchke01
Michael Bunting,950000,buntimi01
Reid Schaefer,950000,schaere01
Anthony Stolarz,950000,stolaan01
Cole Guttman,950000,guttmco01
Dysin Mayo,950000,mayody01
Owen Pickering,950000,pickeow01
Nathan Gaucher,950000,gauchna01
Maveric Lamoureux,950000,lamouma01
Nicolas Meloche,950000,melocni01
Jiri Kulich,950000,kulicji01
Pavel Mintyukov,950000,mintypa01
Jack Johnson,950000,johnsja01
Robert Bortuzzo,950000,borturo01
Filip Mesar,950000,mesarfi01
Noah Östlund,950000,östluno01
Liam Öhgren,950000,öhgreli01
Dylan Gambrell,950000,gambrdy01
Zack MacEwen,925000,macewza01
Dylan Holloway,925000,hollody01
Vasily Podkolzin,925000,podkova01
Jake Sanderson,925000,sandeja01
Bobby Trivigno,925000,trivibo01
Bobby Brink,925000,brinkbo01
Vladislav Firstov,925000,firstvl01
Patrick Khodorenko,925000,khodopa01
Mattias Samuelsson,925000,samuema01
Grigori Denisenko,925000,denisgr01
Jamie Drysdale,925000,drysdja01
Adam Scheel,925000,scheead01
Slater Koekkoek,925000,koekksl01
Drew Helleson,925000,helledr01
Tim Berni,925000,berniti01
Zachary Jones,925000,jonesza01
Michael Kesselring,925000,kessemi01
Jonatan Berggren,925000,berggjo01
Lukas Reichel,925000,reichlu01
Brian Halonen,925000,halonbr01
Ivan Morozov,925000,moroziv01
Georgi Merkulov,925000,merkuge01
Simon Edvinsson,925000,edvinsi01
K'Andre Miller,925000,millek'01
Tim Stützle,925000,stützti01
Spencer Knight,925000,knighsp01
Sampo Ranta,925000,rantasa01
Chaz Lucius,925000,luciuch01
John Beecher,925000,beechjo01
Jeremy Swayman,925000,swaymje01
